target,feat_01,feat_02,feat_03,feat_04,feat_05,feat_06,feat_07,feat_08,feat_09,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18
1.0,63172.0,10503.557714285716,367624.52,14516.443934048011,1.0,35.0,0.0,0.0285714285714285,1.0,31.0,35.0,0.8857142857142857,9.0,35.0,35.0,1.0,0.6176470588235294,0.0
1.0,73971.27,13035.105,234631.89,20813.60823773751,1.0,18.0,0.0,0.0555555555555555,1.0,13.0,18.0,0.7222222222222222,7.0,18.0,18.0,1.0,0.4444444444444444,0.0
1.0,19219.43,4292.019230769231,55796.25,5370.559325555178,1.0,13.0,0.0,0.0769230769230769,1.0,10.0,13.0,0.7692307692307693,6.0,13.0,13.0,1.0,0.6363636363636364,53.016666666666666
1.0,29595.19,4667.39,84013.02,6536.325388082673,1.0,18.0,0.0,0.0555555555555555,1.0,15.0,18.0,0.8333333333333334,7.0,18.0,18.0,1.0,0.6470588235294118,78.15
1.0,400653.43,19970.63541666667,479295.25,81125.36130234147,2.0,24.0,0.0,0.0833333333333333,1.0,22.0,24.0,0.9166666666666666,7.0,24.0,24.0,1.0,0.6666666666666666,0.0
1.0,98521.4,11524.368,172865.52,25990.604145919235,2.0,15.0,0.0,0.1333333333333333,1.0,12.0,15.0,0.8,7.0,15.0,15.0,1.0,0.7333333333333333,0.0
1.0,4257.74,3512.09,14048.36,951.2383645543316,0.0,4.0,0.0,0.0,1.0,2.0,4.0,0.5,6.0,4.0,4.0,1.0,0.0,0.0
1.0,3600.0,2576.636,12883.18,1457.392411288051,1.0,5.0,0.0,0.2,1.0,0.0,5.0,0.0,6.0,5.0,5.0,1.0,0.0,0.0
1.0,36584.28,7521.345,105298.83,10837.282929973198,1.0,14.0,0.0,0.0714285714285714,1.0,11.0,14.0,0.7857142857142857,6.0,14.0,14.0,1.0,0.7272727272727273,0.0
1.0,20736.0,4916.314166666666,58995.77,6197.096095523595,0.0,12.0,0.0,0.0,1.0,8.0,12.0,0.6666666666666666,7.0,12.0,12.0,1.0,0.5833333333333334,0.0
1.0,38900.0,7526.047777777778,203203.29,9620.101938969869,1.0,27.0,0.0,0.037037037037037,1.0,24.0,27.0,0.8888888888888888,9.0,27.0,27.0,1.0,0.4615384615384615,0.0
1.0,20917.22,4975.286956521739,114431.6,5002.39579932859,1.0,23.0,0.0,0.0434782608695652,1.0,18.0,23.0,0.782608695652174,7.0,23.0,23.0,1.0,0.6818181818181818,0.0
1.0,20917.22,4956.174,24780.87,8941.812655434022,0.0,5.0,0.0,0.0,1.0,2.0,5.0,0.4,5.0,5.0,5.0,1.0,0.4,0.0
1.0,151080.0,15208.922307692308,197715.99,40988.41724730438,1.0,13.0,0.0,0.0769230769230769,1.0,10.0,13.0,0.7692307692307693,6.0,13.0,13.0,1.0,0.5384615384615384,263.93333333333334
1.0,113064.0,21622.082857142854,302709.16,38361.93727785162,1.0,14.0,0.0,0.0714285714285714,1.0,9.0,14.0,0.6428571428571429,5.0,14.0,14.0,1.0,0.5,139.75
1.0,9865.05,4174.065,16696.26,3829.870946829235,0.0,4.0,0.0,0.0,1.0,2.0,4.0,0.5,6.0,4.0,4.0,1.0,0.6666666666666666,0.0
1.0,9581.4,3652.3775,29219.02,3179.9800847433444,1.0,8.0,0.0,0.125,1.0,7.0,8.0,0.875,5.0,8.0,8.0,1.0,0.5,147.96666666666667
1.0,4203.69,1860.296,9301.48,1582.9735075262631,1.0,5.0,0.0,0.2,1.0,3.0,5.0,0.6,6.0,5.0,5.0,1.0,0.6,0.0
1.0,124345.57,17013.85,136110.8,43378.71715326341,1.0,8.0,0.0,0.125,1.0,4.0,8.0,0.5,6.0,8.0,8.0,1.0,0.5714285714285714,199.41666666666663
1.0,25050.0,3967.9365217391296,91262.54,5822.629636141926,1.0,23.0,0.0,0.0434782608695652,1.0,20.0,23.0,0.8695652173913043,6.0,23.0,23.0,1.0,0.7391304347826086,0.0
1.0,40149.27,6651.340416666666,159632.17,8720.96252070611,1.0,24.0,0.0,0.0416666666666666,1.0,18.0,24.0,0.75,7.0,24.0,24.0,1.0,0.6111111111111112,0.0
1.0,17237.34,3591.4806249999992,57463.69,4173.035827449794,1.0,16.0,0.0,0.0625,1.0,13.0,16.0,0.8125,6.0,16.0,16.0,1.0,0.6666666666666666,242.61666666666667
1.0,5341.0,2212.94125,35407.06,1325.4636587040025,1.0,16.0,0.0,0.0625,1.0,15.0,16.0,0.9375,6.0,16.0,16.0,1.0,0.5,245.63333333333333
1.0,2522.53,1514.785,6059.14,1073.7014833586973,1.0,4.0,0.0,0.25,1.0,2.0,4.0,0.5,6.0,4.0,4.0,1.0,0.0,0.0
1.0,18714.52,3737.573913043479,85964.2,4097.839280108192,1.0,23.0,0.0,0.0434782608695652,1.0,20.0,23.0,0.8695652173913043,7.0,23.0,23.0,1.0,0.6666666666666666,0.0
1.0,38392.2,7284.959130434781,167554.06,9103.770621592068,0.0,23.0,0.0,0.0,1.0,21.0,23.0,0.9130434782608696,9.0,23.0,23.0,1.0,0.4347826086956521,0.0
1.0,14904.33,3652.8870833333326,87669.29,3685.37230265166,0.0,24.0,0.0,0.0,1.0,19.0,24.0,0.7916666666666666,7.0,24.0,24.0,1.0,0.5652173913043478,0.0
1.0,4477.8,2663.146666666667,7989.44,1735.3531284823082,0.0,3.0,0.0,0.0,1.0,2.0,3.0,0.6666666666666666,5.0,3.0,3.0,1.0,1.0,0.0
1.0,192071.51,24740.82857142857,346371.6,49943.52877808294,0.0,14.0,0.0,0.0,1.0,9.0,14.0,0.6428571428571429,6.0,14.0,14.0,1.0,0.2857142857142857,0.0
1.0,14739.0,4435.4425,17741.77,6904.911301734803,1.0,4.0,0.0,0.25,1.0,2.0,4.0,0.5,6.0,4.0,4.0,1.0,0.75,0.0
1.0,107662.55,26800.968125,428815.49,35041.65134445678,1.0,16.0,0.0,0.0625,1.0,13.0,16.0,0.8125,7.0,16.0,16.0,1.0,0.5333333333333333,131.41666666666666
1.0,32949.58,5133.352857142857,71866.94,8274.759117999405,2.0,14.0,0.0,0.1428571428571428,1.0,11.0,14.0,0.7857142857142857,7.0,14.0,14.0,1.0,0.8461538461538461,4.616666666666666
1.0,30440.0,7963.101,79631.01,9144.380000696783,1.0,10.0,0.0,0.1,1.0,7.0,10.0,0.7,7.0,10.0,10.0,1.0,0.8,0.0
1.0,257342.5,43126.93428571429,905665.62,66312.32296554228,1.0,21.0,0.0,0.0476190476190476,1.0,18.0,21.0,0.8571428571428571,9.0,21.0,21.0,1.0,0.5,155.74444444444444
1.0,209965.0,26208.47254545454,1441465.99,32383.882630646924,0.0,55.0,0.0,0.0,1.0,53.0,55.0,0.9636363636363636,11.0,55.0,55.0,1.0,0.3818181818181818,360.3833333333333
1.0,80901.2,11859.966666666667,213479.4,24133.245416805763,0.0,18.0,0.0,0.0,1.0,16.0,18.0,0.8888888888888888,6.0,18.0,18.0,1.0,0.5882352941176471,362.8541666666667
1.0,1360.0,297.8504854368933,30678.6,311.218863116563,56.0,103.0,0.0,0.5436893203883495,0.0,35.0,103.0,0.3398058252427184,1.0,0.0,103.0,0.0,0.0,9.090674603174604
1.0,659.4,159.836156462585,46991.83,74.06459325422644,159.0,294.0,896.0,0.5408163265306123,0.0,71.0,294.0,0.2414965986394557,4.0,0.0,1190.0,0.0,0.0,195.8802083333333
1.0,12084.15,5188.34,15565.02,5978.684099958786,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1226.4833333333331
1.0,5129.73,328.03483870967733,50845.4,722.4736543539327,60.0,155.0,525.0,0.3870967741935484,0.0,62.0,155.0,0.4,1.0,0.0,1239.0,0.0,0.0,148.67187499999997
1.0,82000.0,32505.74833333333,195034.49,30580.966200825253,0.0,6.0,0.0,0.0,0.0,3.0,6.0,0.5,0.0,0.0,6.0,0.0,0.0,2.808333333333333
1.0,570.46,231.6128395061729,18760.64,127.29559061721824,43.0,81.0,0.0,0.5308641975308642,0.0,14.0,81.0,0.1728395061728395,1.0,0.0,81.0,0.0,0.0,213.89378531073447
1.0,1558.8,678.3380000000001,3391.69,671.3012710549564,1.0,5.0,1.0,0.2,0.0,0.0,5.0,0.0,0.0,6.0,6.0,1.0,1.0,9.466666666666669
1.0,2546.64,1812.158,9060.79,715.6998684294973,2.0,5.0,0.0,0.4,0.0,4.0,5.0,0.8,0.0,5.0,5.0,1.0,1.0,9.8875
1.0,804.68,625.4,1876.2,170.15152335492033,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,1.0,1.0,15.45
1.0,1251.03,905.7633333333332,2717.29,348.8794431223103,1.0,3.0,0.0,0.3333333333333333,0.0,0.0,3.0,0.0,0.0,3.0,3.0,1.0,1.0,10.725
1.0,152099.1,76501.21833333334,459007.31,60794.8598953538,0.0,6.0,0.0,0.0,0.0,5.0,6.0,0.8333333333333334,0.0,0.0,6.0,0.0,0.0,4.933333333333334
1.0,9500.0,8000.0,24000.0,2598.076211353316,0.0,3.0,0.0,0.0,0.0,2.0,3.0,0.6666666666666666,0.0,3.0,3.0,1.0,1.0,20.016666666666666
1.0,14500.0,1816.572666666667,27248.59,3916.335008799621,0.0,15.0,0.0,0.0,0.0,13.0,15.0,0.8666666666666667,2.0,0.0,15.0,0.0,0.0,4.642424242424242
1.0,136069.88,31839.457272727275,350234.03,38175.61884467208,0.0,11.0,0.0,0.0,0.0,6.0,11.0,0.5454545454545454,0.0,0.0,11.0,0.0,0.0,183.05
1.0,4817.31,4079.426,40794.26,540.0048629040298,1.0,10.0,0.0,0.1,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,9.86875
1.0,1187883.85,345123.16833333333,2070739.01,543212.6506492312,0.0,6.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,6.0,0.0,0.0,10.983333333333333
1.0,304252.07,43065.990740740745,1162781.75,68184.56563511581,0.0,27.0,0.0,0.0,0.0,18.0,27.0,0.6666666666666666,3.0,0.0,27.0,0.0,0.0,81.71031746031746
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,14640.6,7836.35875,62690.87,4592.965769852968,0.0,8.0,0.0,0.0,0.0,5.0,8.0,0.625,0.0,0.0,8.0,0.0,0.0,0.0722222222222222
1.0,3669.9,428.8548888888891,38596.94,369.7425869689978,4.0,90.0,0.0,0.0444444444444444,0.0,61.0,90.0,0.6777777777777778,1.0,0.0,94.0,0.0,0.0,141.5713333333333
1.0,3397.24,3124.2336363636364,68733.14,327.9617657672838,2.0,22.0,0.0,0.0909090909090909,0.0,4.0,22.0,0.1818181818181818,0.0,0.0,22.0,0.0,0.0,4.854761904761904
1.0,36572.63,19717.81,216895.91,10794.982549699653,1.0,11.0,0.0,0.0909090909090909,0.0,7.0,11.0,0.6363636363636364,0.0,11.0,11.0,1.0,0.9090909090909092,34.70208333333334
1.0,499000.0,13843.554444444448,622959.95,74983.955244062,17.0,45.0,0.0,0.3777777777777777,0.0,16.0,45.0,0.3555555555555555,0.0,0.0,48.0,0.0,0.0,109.56396396396391
1.0,9786.71,607.8118378378382,112445.19,1185.0186623667462,100.0,185.0,513.0,0.5405405405405406,0.0,43.0,185.0,0.2324324324324324,4.0,41.0,962.0,0.0426195426195426,0.0,199.13817204301077
1.0,59829.0,11582.422820512818,451714.49,13885.06037221584,3.0,39.0,0.0,0.0769230769230769,0.0,16.0,39.0,0.4102564102564102,0.0,0.0,39.0,0.0,0.0,29.48382352941177
1.0,150487.89,91309.634,456548.17,81052.78891583023,0.0,5.0,0.0,0.0,0.0,3.0,5.0,0.6,0.0,0.0,5.0,0.0,0.0,81.75555555555556
1.0,61950.2,38966.96923076922,506570.6,23404.879547597717,1.0,13.0,0.0,0.0769230769230769,0.0,7.0,13.0,0.5384615384615384,0.0,0.0,13.0,0.0,0.0,67.4074074074074
1.0,9458.68,1673.927391304348,38500.33,1910.695743331155,3.0,23.0,0.0,0.1304347826086956,0.0,10.0,23.0,0.4347826086956521,0.0,0.0,23.0,0.0,0.0,36.96666666666667
1.0,163841.18,9422.525217391303,216718.08,33727.6506655901,3.0,23.0,0.0,0.1304347826086956,0.0,2.0,23.0,0.0869565217391304,0.0,0.0,23.0,0.0,0.0,19.830952380952382
1.0,274645.88,57213.78357142856,800992.97,93941.29642086182,1.0,14.0,0.0,0.0714285714285714,0.0,5.0,14.0,0.3571428571428571,0.0,0.0,14.0,0.0,0.0,31.375
1.0,42000.0,1812.0791666666669,43489.9,8560.114127641218,0.0,24.0,0.0,0.0,0.0,21.0,24.0,0.875,0.0,0.0,24.0,0.0,0.0,15.913157894736845
1.0,66499.04,13360.585555555555,120245.27,20510.56184661521,3.0,9.0,0.0,0.3333333333333333,0.0,2.0,9.0,0.2222222222222222,0.0,0.0,9.0,0.0,0.0,157.13
1.0,23322.04,15508.363333333333,46525.09,6773.377936010462,0.0,3.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,8.0,0.125,0.0,0.0
1.0,146691.87,42216.8625,168867.45,70393.18025442965,1.0,4.0,9.0,0.25,0.0,0.0,4.0,0.0,1.0,1.0,13.0,0.0769230769230769,0.0,12.666666666666666
1.0,301300.0,71312.79285714286,499189.55,118843.31953215988,4.0,7.0,0.0,0.5714285714285714,0.0,3.0,7.0,0.4285714285714285,0.0,0.0,7.0,0.0,0.0,55.35
1.0,84473.06,21024.94476190476,441523.84,23591.72530600711,1.0,21.0,0.0,0.0476190476190476,0.0,4.0,21.0,0.1904761904761904,0.0,0.0,21.0,0.0,0.0,123.7125
1.0,12721.57,3297.0040000000004,16485.02,5372.455106129785,0.0,5.0,0.0,0.0,0.0,2.0,5.0,0.4,0.0,0.0,9.0,0.0,0.0,9.833333333333334
1.0,113146.0,36756.41888888889,330807.77,49421.77736069127,0.0,9.0,0.0,0.0,0.0,4.0,9.0,0.4444444444444444,1.0,7.0,9.0,0.7777777777777778,0.5714285714285714,14.55
1.0,3597.0,796.6428571428572,5576.5,1299.2395312350257,0.0,7.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,0.0,12.0,0.0,0.0,25.98333333333333
1.0,186447.98,3015.7961538461545,352848.15,17202.340302270073,14.0,117.0,0.0,0.1196581196581196,0.0,40.0,117.0,0.3418803418803419,0.0,0.0,117.0,0.0,0.0,25.864242424242416
1.0,635.0,130.63808592088483,307130.14,21.756934861039323,362.0,2351.0,2417.0,0.1539770310506167,0.0,272.0,2351.0,0.1156954487452148,1.0,0.0,8470.0,0.0,0.0,6.3487585616438365
1.0,39999.0,16747.100000000002,502413.0,14870.634393512511,0.0,30.0,0.0,0.0,0.0,29.0,30.0,0.9666666666666668,0.0,0.0,34.0,0.0,0.0,64.5798611111111
1.0,8287.5,174.21935185185197,37631.38,555.9857022066149,32.0,216.0,42.0,0.1481481481481481,0.0,55.0,216.0,0.2546296296296296,0.0,0.0,704.0,0.0,0.0,21.87330173775671
1.0,245890.94,27408.397600000004,685209.94,53728.29865492722,1.0,25.0,0.0,0.04,1.0,20.0,25.0,0.8,12.0,25.0,25.0,1.0,0.32,6.866666666666666
1.0,276529.21,129844.41,389533.23,139030.01757649353,1.0,3.0,0.0,0.3333333333333333,0.0,0.0,3.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0
1.0,32691.69,12483.32375,99866.59,12944.177269178314,1.0,8.0,0.0,0.125,0.0,2.0,8.0,0.25,12.0,8.0,8.0,1.0,0.0,0.0
1.0,395842.52,50026.336296296286,2701422.16,71801.4247212872,0.0,54.0,0.0,0.0,1.0,54.0,54.0,1.0,15.0,54.0,54.0,1.0,0.2592592592592592,329.2366666666667
1.0,394600.0,86879.03571428571,608153.25,140187.2487683982,1.0,7.0,0.0,0.1428571428571428,1.0,6.0,7.0,0.8571428571428571,12.0,7.0,7.0,1.0,0.2857142857142857,262.18333333333334
1.0,34800.0,18742.445555555558,168682.01,12655.06721680303,1.0,9.0,0.0,0.1111111111111111,0.0,5.0,9.0,0.5555555555555556,1.0,9.0,9.0,1.0,0.0,60.21666666666667
1.0,21483.92,12403.388,62016.94,9988.489760597946,0.0,5.0,0.0,0.0,1.0,2.0,5.0,0.4,1.0,5.0,5.0,1.0,0.0,83.06666666666666
1.0,126747.5,12824.173461538465,333428.51,26089.16678679792,0.0,26.0,0.0,0.0,1.0,24.0,26.0,0.9230769230769232,12.0,26.0,26.0,1.0,0.0,326.05
1.0,45868.19,15732.084285714289,110124.59,15822.20620326156,1.0,7.0,0.0,0.1428571428571428,0.0,4.0,7.0,0.5714285714285714,1.0,7.0,7.0,1.0,0.2857142857142857,374.28333333333336
1.0,41903.0,22267.0,111335.0,19318.95030792305,1.0,5.0,0.0,0.2,1.0,2.0,5.0,0.4,1.0,5.0,5.0,1.0,0.6,203.76666666666668
1.0,1120165.11,117552.7372413793,3409029.38,238273.17148234724,1.0,29.0,0.0,0.0344827586206896,1.0,26.0,29.0,0.896551724137931,13.0,29.0,29.0,1.0,0.2758620689655172,240.2055555555556
1.0,560647.34,71986.3613888889,2591509.01,118292.90551922195,1.0,36.0,0.0,0.0277777777777777,1.0,31.0,36.0,0.8611111111111112,13.0,36.0,36.0,1.0,0.2777777777777778,296.2083333333333
1.0,1500000.0,74969.78585365853,3073761.22,232810.9154976704,0.0,41.0,0.0,0.0,1.0,37.0,41.0,0.902439024390244,15.0,41.0,41.0,1.0,0.073170731707317,163.5
1.0,281834.66,48741.2280952381,1023565.79,59097.2617357574,0.0,21.0,0.0,0.0,1.0,17.0,21.0,0.8095238095238095,15.0,21.0,21.0,1.0,0.2857142857142857,266.2555555555556
1.0,547080.0,60778.685238095255,1276352.39,120207.27110550216,0.0,21.0,0.0,0.0,1.0,17.0,21.0,0.8095238095238095,14.0,21.0,21.0,1.0,0.2857142857142857,290.5
1.0,46929.21,21420.00857142857,149940.06,19606.01841606757,1.0,7.0,0.0,0.1428571428571428,0.0,5.0,7.0,0.7142857142857143,1.0,7.0,7.0,1.0,0.0,0.0
1.0,156836.75,78423.4,156846.8,110893.22304110834,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0
1.0,379120.5,34725.712777777786,1250125.66,70756.65916238066,1.0,36.0,0.0,0.0277777777777777,1.0,34.0,36.0,0.9444444444444444,13.0,36.0,36.0,1.0,0.3333333333333333,193.7020833333333
1.0,261385.0,28640.58745098039,1460669.96,45278.999201764775,0.0,51.0,0.0,0.0,1.0,49.0,51.0,0.9607843137254902,11.0,51.0,51.0,1.0,0.3673469387755102,182.55
1.0,82142.77,11769.496,411932.36,17514.325038782532,0.0,35.0,0.0,0.0,0.0,32.0,35.0,0.9142857142857144,13.0,35.0,35.0,1.0,0.2857142857142857,213.04166666666663
1.0,27685.26,8279.711600000002,206992.79,8160.260293102216,0.0,25.0,0.0,0.0,1.0,21.0,25.0,0.84,12.0,25.0,25.0,1.0,0.08,173.79166666666666
1.0,83319.89,12147.285999999998,425155.01,18479.124304863613,0.0,35.0,0.0,0.0,1.0,31.0,35.0,0.8857142857142857,13.0,35.0,35.0,1.0,0.0,220.34848484848487
1.0,45289.17,25158.7025,100634.81,18895.95573570771,0.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,5.0,4.0,4.0,1.0,0.5,0.0
1.0,230496.0,66605.68166666666,799268.18,78107.89846730155,1.0,12.0,0.0,0.0833333333333333,0.0,7.0,12.0,0.5833333333333334,1.0,12.0,12.0,1.0,0.4166666666666667,251.075
1.0,500000.0,65997.94880000001,3299897.44,96348.11497036491,0.0,50.0,0.0,0.0,1.0,47.0,50.0,0.94,6.0,50.0,50.0,1.0,0.2,272.9190476190476
